codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
57357,1,FALSE,5728,5728,FALSE,5728
57358,1,FALSE,5721,5721,FALSE,5721
57359,1,FALSE,5721,5721,FALSE,5721
57360,1,FALSE,5751,5751,FALSE,5751
57361,1,FALSE,5731,5731,FALSE,5731
57362,1,FALSE,5729,5729,FALSE,5729
57363,0,TRUE,NA,NA,FALSE,missing_canton_57363
57364,1,FALSE,5731,5731,FALSE,5731
57365,1,FALSE,5731,5731,FALSE,5731
57366,1,FALSE,5728,5728,FALSE,5728
57367,1,FALSE,5721,5721,FALSE,5721
57368,1,FALSE,5744,5744,FALSE,5744
57369,0,TRUE,NA,NA,FALSE,missing_canton_57369
57370,1,FALSE,5721,5721,FALSE,5721
57371,1,FALSE,5731,5731,FALSE,5731
57372,1,FALSE,5721,5721,FALSE,5721
57373,1,FALSE,5749,5749,FALSE,5749
57374,1,FALSE,5716,5716,FALSE,5716
57375,1,FALSE,5734,5734,FALSE,5734
57376,1,FALSE,5726,5726,FALSE,5726
57377,1,FALSE,5716,5716,FALSE,5716
57378,0,TRUE,NA,NA,FALSE,missing_canton_57378
57379,1,FALSE,5714,5714,FALSE,5714
57380,1,FALSE,5716,5716,FALSE,5716
57381,1,FALSE,5707,5707,FALSE,5707
57382,1,FALSE,5729,5729,FALSE,5729
57383,1,FALSE,5725,5725,FALSE,5725
57384,1,FALSE,5714,5714,FALSE,5714
57385,1,FALSE,5723,5723,FALSE,5723
57386,1,FALSE,5709,5709,FALSE,5709
57387,1,FALSE,5731,5731,FALSE,5731
57388,1,FALSE,5731,5731,FALSE,5731
57389,1,FALSE,5714,5714,FALSE,5714
57390,1,FALSE,5702,5702,FALSE,5702
57391,1,FALSE,5707,5707,FALSE,5707
57392,1,FALSE,5723,5723,FALSE,5723
57393,1,FALSE,5736,5736,FALSE,5736
57394,1,FALSE,5701,5701,FALSE,5701
57395,1,FALSE,5707,5707,FALSE,5707
57396,1,FALSE,5713,5713,FALSE,5713
57397,1,FALSE,5734,5734,FALSE,5734
57398,1,FALSE,5714,5714,FALSE,5714
57399,1,FALSE,5734,5734,FALSE,5734
57400,0,TRUE,NA,NA,FALSE,missing_canton_57400
57401,1,FALSE,5708,5708,FALSE,5708
57402,1,FALSE,5702,5702,FALSE,5702
57403,1,FALSE,5733,5733,FALSE,5733
57404,1,FALSE,5708,5708,FALSE,5708
57405,1,FALSE,5708,5708,FALSE,5708
57406,1,FALSE,5707,5707,FALSE,5707
57407,1,FALSE,5724,5724,FALSE,5724
57408,1,FALSE,5750,5750,FALSE,5750
57409,1,FALSE,5714,5714,FALSE,5714
57410,1,FALSE,5701,5701,FALSE,5701
57411,1,FALSE,5711,5711,FALSE,5711
57412,1,FALSE,5737,5737,FALSE,5737
57413,1,FALSE,5709,5709,FALSE,5709
57414,1,FALSE,5716,5716,FALSE,5716
57415,1,FALSE,5737,5737,FALSE,5737
57416,1,FALSE,5733,5733,FALSE,5733
57417,1,FALSE,5701,5701,FALSE,5701
57418,1,FALSE,5701,5701,FALSE,5701
57419,1,FALSE,5750,5750,FALSE,5750
57420,0,TRUE,NA,NA,FALSE,missing_canton_57420
57421,1,FALSE,5736,5736,FALSE,5736
57422,1,FALSE,5733,5733,FALSE,5733
57423,1,FALSE,5706,5706,FALSE,5706
57424,1,FALSE,5707,5707,FALSE,5707
57425,1,FALSE,5723,5723,FALSE,5723
57426,1,FALSE,5721,5721,FALSE,5721
57427,1,FALSE,5724,5724,FALSE,5724
57428,1,FALSE,5749,5749,FALSE,5749
57429,0,TRUE,NA,NA,FALSE,missing_canton_57429
57430,1,FALSE,5709,5709,FALSE,5709
57431,1,FALSE,5723,5723,FALSE,5723
57432,1,FALSE,5723,5723,FALSE,5723
57433,1,FALSE,5743,5743,FALSE,5743
57434,1,FALSE,5734,5734,FALSE,5734
57435,0,TRUE,NA,NA,FALSE,missing_canton_57435
57436,1,FALSE,5707,5707,FALSE,5707
57437,1,FALSE,5731,5731,FALSE,5731
57438,1,FALSE,5735,5735,FALSE,5735
57439,1,FALSE,5731,5731,FALSE,5731
57440,1,FALSE,5706,5706,FALSE,5706
57441,1,FALSE,5738,5738,FALSE,5738
57442,1,FALSE,5709,5709,FALSE,5709
57443,1,FALSE,5748,5748,FALSE,5748
57444,1,FALSE,5709,5709,FALSE,5709
57445,1,FALSE,5733,5733,FALSE,5733
57446,1,FALSE,5701,5701,FALSE,5701
57447,1,FALSE,5733,5733,FALSE,5733
57448,1,FALSE,5734,5734,FALSE,5734
57449,1,FALSE,5723,5723,FALSE,5723
57450,0,TRUE,NA,NA,FALSE,missing_canton_57450
57451,1,FALSE,5707,5707,FALSE,5707
57452,1,FALSE,5737,5737,FALSE,5737
57453,1,FALSE,5714,5714,FALSE,5714
57454,1,FALSE,5733,5733,FALSE,5733
57455,1,FALSE,5703,5703,FALSE,5703
57456,1,FALSE,5702,5702,FALSE,5702
57457,1,FALSE,5704,5704,FALSE,5704
57458,0,TRUE,NA,NA,FALSE,missing_canton_57458
57459,1,FALSE,5731,5731,FALSE,5731
57460,1,FALSE,5704,5704,FALSE,5704
57461,1,FALSE,5716,5716,FALSE,5716
57462,1,FALSE,5724,5724,FALSE,5724
57463,5,FALSE,5717|5718|5719|5746|5799,5717,TRUE,split_57463
57464,1,FALSE,5721,5721,FALSE,5721
57465,1,FALSE,5721,5721,FALSE,5721
57466,1,FALSE,5747,5747,FALSE,5747
57467,1,FALSE,5720,5720,FALSE,5720
57468,1,FALSE,5724,5724,FALSE,5724
57469,1,FALSE,5710,5710,FALSE,5710
57470,1,FALSE,5701,5701,FALSE,5701
57471,1,FALSE,5703,5703,FALSE,5703
57472,1,FALSE,5733,5733,FALSE,5733
57473,1,FALSE,5734,5734,FALSE,5734
57474,1,FALSE,5745,5745,FALSE,5745
57475,1,FALSE,5705,5705,FALSE,5705
57476,1,FALSE,5721,5721,FALSE,5721
57477,1,FALSE,5726,5726,FALSE,5726
57478,1,FALSE,5701,5701,FALSE,5701
57479,1,FALSE,5731,5731,FALSE,5731
57480,1,FALSE,5720,5720,FALSE,5720
57481,1,FALSE,5748,5748,FALSE,5748
57482,1,FALSE,5723,5723,FALSE,5723
57483,1,FALSE,5714,5714,FALSE,5714
57484,1,FALSE,5747,5747,FALSE,5747
